Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Germany,0.010307791880491501,0.19191919191919193,0.7120743034055728,0.13341645885286785,0.24647887323943662,0.46153846153846156,0.75,0.6389776357827476,0.8333333333333334,41,1.2838888274170692,2.6838494306545426,B+,AB-
Ghana,0.003769692648109585,0.5717171717171717,0.11145510835913314,0.4233167082294265,0.16197183098591547,0.34615384615384615,0.1625,0.41533546325878595,0.16666666666666669,42,1.268460819291647,1.0906559760792989,A+,O+
Greece,0.001359599904305825,0.24848484848484842,0.563467492260062,0.19576059850374067,0.24647887323943662,0.5076923076923077,0.7125,0.6389776357827476,0.5833333333333334,43,1.2541918124880875,2.4425032768083885,B+,A-
Guinea,0.0016066648123501145,0.4319191919191919,0.2365325077399381,0.5654613466334164,0.28309859154929573,0.15384615384615385,0.1125,0.3194888178913738,0.16666666666666669,44,1.5170116378418421,0.7525016384041943,A-,B+
Honduras,0.0011831243818578522,0.6464646464646465,0.40247678018575855,0.09600997506234416,0.14084507042253522,0.2076923076923077,0.2125,0.19169329073482427,0.16666666666666669,45,1.2857964721352846,0.7785522650937986,B+,O+
Hong Kong,0.0009276913307556547,0.3232323232323232,0.37554179566563467,0.6427680798004989,0.4119718309859155,0.02461538461538462,0.02125,0.04472843450479234,0.04166666666666667,46,1.7535140296843723,0.13226048578684363,A-,B+
Hungary,0.0012521453517352866,0.030303030303030276,0.588235294117647,0.3516209476309227,0.5281690140845071,0.38461538461538464,0.875,0.9584664536741214,0.8333333333333334,47,1.4983282861361071,3.0514151716228395,O+,B-
Iceland,4.008806765289556e-05,0.4303030303030302,0.4086687306501548,0.13341645885286785,0.1056338028169014,0.6307692307692307,0.6,0.5111821086261981,0.33333333333333337,48,1.0780220226229544,2.0752846727287624,AB+,O-
India,0.17230462208594965,0.0505050505050505,0.36532507739938086,0.8503740648379052,1.0,0.15615384615384614,0.17,0.6389776357827476,0.4,49,2.266204192742337,1.3651314819365936,O+,AB+
Indonesia,0.03434886118483529,0.2286868686868686,0.36749226006191954,0.7521820448877807,0.5253521126760564,0.013846153846153847,0.01625,0.04792332268370607,0.03333333333333333,50,1.8737132863126251,0.11135280986319324,O-,B+
Iran,0.010920652734899122,0.16161616161616155,0.40247678018575855,0.5448877805486285,0.45774647887323944,0.3076923076923077,0.375,0.7987220447284344,0.6666666666666667,51,1.566727201223788,2.148081019087409,O+,B-
Iraq,0.004996070876112214,0.0,0.34055727554179566,0.8690773067331672,0.48591549295774655,0.27692307692307694,0.3375,0.8626198083067093,0.75,52,1.6955500752327093,2.2270428852297863,O+,B+
Ireland,0.0006609489872436209,0.43434343434343436,0.3715170278637771,0.13341645885286785,0.1056338028169014,0.6153846153846154,0.625,0.6389776357827476,0.8333333333333334,53,1.0449107238769808,2.7126955845006964,AB+,AB-
Israel,0.0011110957487308053,0.13131313131313127,0.6191950464396285,0.38279301745635913,0.45774647887323944,0.23076923076923078,0.5,0.6389776357827476,0.8333333333333334,54,1.5910476740823585,2.203080199885312,O+,AB-
Italy,0.008023289983564798,0.2727272727272727,0.6811145510835914,0.08665835411471323,0.14084507042253522,0.5384615384615385,0.75,0.4792332268370607,0.4166666666666667,55,1.1813452483481126,2.1843614319652658,B+,A-
Ivory Coast,0.0036086450049313094,0.43919191919191924,0.19164086687306509,0.5293017456359101,0.23380281690140842,0.28692307692307695,0.1925,0.4728434504792332,0.25,56,1.3939373486023028,1.20226652740231,A+,B+
Jamaica,0.0003562974530055216,0.43434343434343436,0.27863777089783287,0.47630922693266836,0.176056338028169,0.2692307692307693,0.25,0.3194888178913738,0.4166666666666667,57,1.3653467702021045,1.2553862537888099,AB+,B+
Japan,0.016141949703547095,0.0888888888888888,0.7987616099071206,0.47319201995012466,0.6619718309859156,0.011538461538461539,0.025,0.03194888178913738,0.04166666666666667,58,2.02281434973205,0.1101540099942656,O-,A+
Jordan,0.0013985196688545316,0.1521212121212121,0.5839009287925696,0.369077306733167,0.4070422535211268,0.3384615384615385,0.49625,0.65814696485623,0.7,59,1.5121417011680753,2.192858503317768,O+,AB-
Kazakhstan,0.002451212355811835,0.10505050505050495,0.48916408668730654,0.6072319201995013,0.5492957746478875,0.17692307692307693,0.275,0.5750798722044729,0.5833333333333334,60,1.7507422865852003,1.6103362824608833,O+,B+
Kenya,0.006881525152630265,0.4060606060606061,0.3467492260061919,0.5162094763092271,0.2605633802816902,0.13846153846153847,0.125,0.28753993610223644,0.016666666666666666,61,1.5295826886577153,0.5676681412304416,AB-,B+
Laos,0.0009694328541397511,0.24282828282828284,0.1773993808049536,0.9551122194513715,0.4471830985915493,0.015384615384615385,0.0125,0.06389776357827476,0.04166666666666667,62,1.8225229816761572,0.1334490456295568,A-,B+
Latvia,0.00023699210513278577,0.10303030303030303,0.5263157894736843,0.38279301745635913,0.3873239436619718,0.4153846153846154,0.75,0.9584664536741214,0.8333333333333334,63,1.3994630536223183,2.95718440239207,O+,B-
Lebanon,0.000698650016487187,0.2606060606060605,0.5665634674922599,0.14900249376558605,0.19014084507042256,0.5923076923076923,0.8125,0.5431309904153354,0.5833333333333334,64,1.166312866934329,2.531272016056361,B+,A-
Libya,0.0008814568386117753,0.34626262626262627,0.460061919504644,0.2016832917705736,0.28169014084507044,0.4815384615384615,0.53,0.523961661341853,0.5583333333333333,65,1.2896979783829143,2.093833456213648,B+,AB-
Liechtenstein,0.0,0.1717171717171717,0.7120743034055728,0.16458852867830426,0.24647887323943662,0.46153846153846156,0.8125,0.5750798722044729,0.5833333333333334,66,1.2948588770404852,2.432451667076268,B+,A-
Lithuania,0.00034637749053975924,0.21212121212121204,0.588235294117647,0.19576059850374067,0.24647887323943662,0.5384615384615385,0.75,0.6389776357827476,0.8333333333333334,67,1.2425959779820364,2.7607725075776197,B+,AB-
Luxemburg,7.580834647337038e-05,0.19191919191919193,0.7120743034055728,0.13341645885286785,0.24647887323943662,0.46153846153846156,0.75,0.6389776357827476,0.8333333333333334,68,1.2838888274170692,2.6838494306545426,B+,AB-
Macao,7.401710276456939e-05,0.3232323232323232,0.3746130030959753,0.644638403990025,0.4084507042253521,0.025384615384615387,0.02125,0.04792332268370607,0.04166666666666667,69,1.7509344345436757,0.13622460473498813,A-,B+
Malaysia,0.0041957720568819015,0.1781818181818181,0.5061919504643964,0.7060473815461348,0.4901408450704226,0.013076923076923078,0.01875,0.04472843450479234,0.03333333333333333,70,1.8805619952627717,0.10988869091504874,O-,B+
Malta,5.379391883652674e-05,0.2525252525252525,0.8359133126934986,0.07107231920199503,0.176056338028169,0.38461538461538464,0.5625,0.3194888178913738,0.4166666666666667,71,1.335567222448915,1.683270869173425,B+,A+
Mauritania,0.0005102835588219734,0.42020202020202013,0.39256965944272443,0.3974438902743142,0.2359154929577465,0.2153846153846154,0.2,0.3514376996805112,0.16666666666666669,72,1.4461310628768054,0.9334889817317933,AB-,O+
Mauritius,0.00017242512198225565,0.2585858585858585,0.3715170278637771,0.6321695760598505,0.4366197183098592,0.13076923076923078,0.125,0.3194888178913738,0.25,73,1.6988921808193453,0.8252580486606045,A-,B+
Mexico,0.016546191197385898,0.6785858585858587,0.37863777089783285,0.11876558603491272,0.08661971830985915,0.21000000000000002,0.15125,0.12779552715654952,0.06666666666666667,74,1.2626089338284634,0.5557121938232162,AB-,O+
Moldova,0.00042781931970514844,0.06060606060606055,0.5510835913312695,0.401496259351621,0.45774647887323944,0.38461538461538464,0.75,0.9584664536741214,0.9166666666666667,75,1.4709323901621905,3.009748504956173,O+,B-
Mongolia,0.00040651647498530385,0.26161616161616164,0.2752321981424149,0.7858478802992519,0.5161971830985916,0.026923076923076925,0.02625,0.08626198083067092,0.05833333333333334,76,1.83889342315642,0.1977683910870812,A-,B+
Morocco,0.004570098764420494,0.33939393939393936,0.8297213622291022,0.2892768079800499,0.24647887323943662,0.34615384615384615,0.3875,0.4792332268370607,0.33333333333333337,77,1.704870982842528,1.5462204063242404,AB+,A+
Myanmar,0.007275479764010667,0.20606060606060606,0.30340557275541796,0.8721945137157108,0.45422535211267606,0.023076923076923078,0.025,0.09584664536741214,0.04166666666666667,78,1.8358860446444107,0.18559023511100187,O-,B+
Namibia,0.0003395237286997136,0.5066666666666667,0.2009287925696594,0.48285536159601,0.036619718309859155,0.32461538461538464,0.21375,0.5399361022364216,0.06666666666666667,79,1.2270705391421952,1.1449681535184728,AB+,B-
Nepal,0.00389675464860369,0.195959595959596,0.6904024767801857,0.6976309226932669,0.14788732394366197,0.023076923076923078,0.025,0.06389776357827476,0.08333333333333334,80,1.7318803193767107,0.19530801998853117,O-,B+
Netherlands,0.002218149716785342,0.25656565656565655,0.6996904024767803,0.09289276807980051,0.14084507042253522,0.5230769230769231,0.8,0.41533546325878595,0.4166666666666667,81,1.1899938975447726,2.155079053002376,B+,A-
New Zealand,0.0006286451040768996,0.2525252525252525,0.5572755417956656,0.13341645885286785,0.176056338028169,0.6923076923076923,0.75,0.6389776357827476,0.8333333333333334,82,1.119273591201955,2.9146186614237735,B+,AB-
Nicaragua,0.0007982689231420086,0.7373737373737373,0.18575851393188852,0.19576059850374067,0.24647887323943662,0.07692307692307693,0.125,0.22364217252396162,0.25,83,1.3653717230488032,0.6755652494470386,O-,O+
Nigeria,0.028229775063681625,0.4995959595959595,0.23560371517027862,0.46352867830423944,0.20915492957746482,0.2076923076923077,0.145,0.3354632587859425,0.15833333333333335,84,1.4078832826479424,0.8464888998115835,A-,O+
North Korea,0.003294088432042015,0.033333333333333215,0.5287925696594427,0.7927057356608478,0.7619718309859156,0.006153846153846155,0.0125,0.03194888178913738,0.025,85,2.1168034696395392,0.07560272794298353,O-,B+
North Macedonia,0.0002684786521447981,0.09090909090909083,0.6191950464396285,0.3204488778054863,0.3873239436619718,0.38461538461538464,0.75,0.9584664536741214,0.8333333333333334,86,1.4178769588161775,2.9264151716228395,O+,B-
Norway,0.0006983704522711973,0.15555555555555556,0.8544891640866874,0.06483790523690774,0.20422535211267606,0.4461538461538462,0.925,0.38338658146964855,0.5,87,1.2791079769918265,2.254540427623495,B+,A-
Pakistan,0.03063780613396434,0.09171717171717164,0.23312693498452014,0.7955112219451372,0.5866197183098593,0.23846153846153847,0.2775,0.9999999999999999,0.7583333333333334,88,1.7069750469566882,2.2742948717948717,O+,B-
Papua New Guinea,0.0009289198437324083,0.4545454545454545,0.7182662538699691,0.1521197007481297,0.16197183098591547,0.07692307692307693,0.1,0.12779552715654952,0.16666666666666669,89,1.4869032401494686,0.47138527074629316,O-,A+
Paraguay,0.0009306158837965557,0.6175757575757576,0.443343653250774,0.0,0.06197183098591549,0.4530769230769231,0.37125,0.15654952076677314,0.125,90,1.122891241812447,1.1058764438436963,B+,O+
Peru,0.00410094227951388,0.8989898989898991,0.13622291021671823,0.09600997506234416,0.07746478873239437,0.1076923076923077,0.0625,0.08945686900958467,0.016666666666666666,91,1.208687573001356,0.276315843368559,AB-,O+
Philippines,0.014041466931371429,0.4121212121212121,0.2755417956656347,0.6290523690773067,0.3852112676056338,0.007692307692307693,0.0125,0.03194888178913738,0.025,92,1.7019266444697874,0.07714118948144508,O-,B+
Poland,0.004920122811857636,0.11111111111111105,0.5572755417956656,0.3204488778054863,0.45774647887323944,0.46153846153846156,0.75,0.6389776357827476,0.8333333333333334,93,1.4465820095855024,2.6838494306545426,O+,AB-
Portugal,0.001320440715456172,0.21616161616161622,0.7987616099071206,0.05860349127182046,0.16901408450704225,0.46923076923076923,0.85,0.3514376996805112,0.4166666666666667,94,1.2425408018475996,2.087335135577947,B+,A-
Romania,0.0027263268306425663,0.0505050505050505,0.7120743034055728,0.2892768079800499,0.45774647887323944,0.38461538461538464,0.75,0.6389776357827476,0.8333333333333334,95,1.5096026407639127,2.6069263537314655,O+,AB-
Russia,0.01871124198194068,0.41414141414141414,0.5263157894736843,0.13341645885286785,0.11267605633802819,0.46153846153846156,0.5,0.3194888178913738,0.75,96,1.1865497188059946,2.0310272794298356,AB+,AB-
Saudi Arabia,0.004391507533950454,0.4505050505050504,0.30650154798761603,0.38279301745635913,0.24647887323943662,0.3076923076923077,0.25,0.3194888178913738,0.25,97,1.386278489188462,1.1271811255836814,AB+,O+
Serbia,0.0008971049727999148,0.12969696969696964,0.6588235294117648,0.24563591022443892,0.2605633802816902,0.46769230769230774,0.84,0.7667731629392971,0.6666666666666667,98,1.2947197896148637,2.7411321372982718,O+,A-
Singapore,0.00079385983651238,0.38787878787878793,0.30650154798761603,0.6165835411471321,0.35915492957746475,0.046153846153846156,0.0375,0.09584664536741214,0.08333333333333334,99,1.6701188065910009,0.2628338248545916,A-,B+
Slovakia,0.0006949177763096163,0.03434343434343423,0.6718266253869969,0.32980049875311723,0.44366197183098594,0.36923076923076925,0.7875,0.8626198083067093,1.0,100,1.4796325303145343,3.0193505775374785,O+,AB-
Slovenia,0.00026548192444896375,0.11111111111111105,0.588235294117647,0.22693266832917708,0.3873239436619718,0.5384615384615385,0.875,0.9584664536741214,0.8333333333333334,101,1.313603017219907,3.2052613254689937,O+,B-
Somalia,0.001550983545585116,0.5515151515151514,0.16594427244582038,0.23690773067331672,0.21267605633802816,0.5538461538461539,0.33,0.536741214057508,0.4,102,1.1670432109723166,1.820587367903662,A+,O-
South Africa,0.007259211004982245,0.2727272727272727,0.5572755417956656,0.22693266832917708,0.176056338028169,0.46153846153846156,0.625,0.6389776357827476,0.8333333333333334,103,1.2329918208802844,2.5588494306545426,AB+,AB-
South Korea,0.0066637370378134315,0.02626262626262621,0.631578947368421,0.6945137157107233,0.9788732394366197,0.007692307692307693,0.0125,0.03194888178913738,0.08333333333333334,104,2.3312285287783903,0.1354745228147784,O-,AB+
Sri Lanka,0.0029596736654137084,0.362020202020202,0.21671826625386997,0.6564837905236909,0.326056338028169,0.1630769230769231,0.13,0.3993610223642172,0.21666666666666667,106,1.561278596825932,0.909104612107807,A-,B+
Spain,0.006429675275132371,0.19191919191919193,0.6811145510835914,0.10224438902743144,0.14084507042253522,0.6923076923076923,0.875,0.6389776357827476,0.4166666666666667,105,1.11612320245275,2.6229519947571065,B+,A-
Sudan,0.005856621894933065,0.4545454545454545,0.4241486068111456,0.3266832917705736,0.16197183098591547,0.2692307692307693,0.225,0.25559105431309903,0.16666666666666669,107,1.3673491841130891,0.916488490210535,AB+,O+
Sweden,0.001307551814466528,0.13131313131313127,0.7120743034055728,0.16458852867830426,0.31690140845070425,0.46153846153846156,0.875,0.6389776357827476,0.8333333333333334,108,1.3248773718477125,2.8088494306545426,O+,A-
Switzerland,0.0010761687478467285,0.19191919191919193,0.7430340557275541,0.10224438902743144,0.24647887323943662,0.46153846153846156,0.875,0.3194888178913738,0.8333333333333334,109,1.2836765099136143,2.4893606127631687,B+,A-
Syria,0.0024906445475452116,0.3535353535353535,0.4953560371517028,0.2892768079800499,0.22535211267605637,0.38461538461538464,0.375,0.3194888178913738,0.25,110,1.3635203113431626,1.3291042025067583,AB+,A+
Taiwan,0.003031581492834904,0.37171717171717167,0.3684210526315789,0.5978802992518704,0.3873239436619718,0.013076923076923078,0.0125,0.003194888178913738,0.016666666666666666,111,1.7253424672625928,0.04543847792250348,B-,B+
Thailand,0.008869153910394218,0.30909090909090897,0.08978328173374611,1.0,0.31478873239436617,0.015384615384615385,0.0125,0.06389776357827476,0.025,112,1.7136629232190213,0.11678237896289015,A-,B+
Tunisia,0.0015145353448437625,0.3305050505050504,0.43993808049535615,0.36346633416458857,0.2852112676056338,0.31846153846153846,0.34875,0.5175718849840256,0.375,113,1.4191207327706288,1.559783423445564,AB+,B-
Turkey,0.01054681117998754,0.08686868686868687,0.7368421052631577,0.2955112219451372,0.47183098591549294,0.3,0.5875,0.5111821086261981,0.6666666666666667,114,1.5910529999924747,2.0653487752928648,O+,A+
Uganda,0.00574734187680308,0.4806060606060606,0.3130030959752322,0.48534912718204487,0.27535211267605636,0.0776923076923077,0.06125,0.13099041533546324,0.075,115,1.554310396439394,0.34493272302777095,A-,B+
Ukraine,0.005645807961701408,0.13131313131313127,0.6191950464396285,0.3204488778054863,0.31690140845070425,0.38461538461538464,0.75,0.6389776357827476,0.8333333333333334,116,1.3878584640089504,2.6069263537314655,O+,AB-
United Arab Emirates,0.0012804820732985756,0.37575757575757573,0.24458204334365324,0.504364089775561,0.2676056338028169,0.33076923076923076,0.2625,0.6389776357827476,0.33333333333333337,117,1.392309342679607,1.5655801998853116,A+,B-
United Kingdom,0.008455367607911017,0.19191919191919193,0.4953560371517028,0.13341645885286785,0.1056338028169014,1.0,1.0,0.6389776357827476,0.8333333333333334,118,0.9263254907406641,3.472310969116081,AB+,O-
United States,0.04309370602390877,0.2404040404040403,0.6718266253869969,0.11783042394014964,0.20422535211267606,0.5076923076923077,0.7875,0.4792332268370607,0.5,119,1.2342864418438628,2.2744255345293682,B+,A-
Uzbekistan,0.003963000818200192,0.07919191919191915,0.5241486068111456,0.6315461346633418,0.617605633802817,0.12923076923076923,0.22125,0.45367412140575075,0.4416666666666667,120,1.8524922944692235,1.2458215573031866,O+,B+
Venezuela,0.0036801954327243323,0.6626262626262626,0.43962848297213625,0.027431421446384052,0.09859154929577463,0.28461538461538466,0.225,0.12779552715654952,0.08333333333333334,121,1.2282777163405574,0.7207442451052676,B+,O+
Vietnam,0.012695809729478705,0.32727272727272727,0.24458204334365324,0.8129675810473815,0.3154929577464789,0.023076923076923078,0.0125,0.06389776357827476,0.016666666666666666,122,1.700315309410241,0.1161413533218645,A-,B+
Yemen,0.0038397003908984973,0.45131313131313133,0.4179566563467492,0.33042394014962595,0.11549295774647889,0.28153846153846157,0.2625,0.3738019169329073,0.13333333333333333,124,1.3151866855559853,1.0511737118047022,AB+,O+
Zimbabwe,0.0018664001676156397,0.7636363636363636,0.1393188854489164,0.30798004987531175,0.03450704225352113,0.13076923076923078,0.0625,0.12779552715654952,0.008333333333333333,125,1.245442341214113,0.3293980912591136,AB-,O+
World,1.0,0.23979797979797968,0.4099071207430341,0.5645261845386533,0.4028169014084507,0.20692307692307693,0.26125,0.3706070287539936,0.33333333333333337,123,1.6170481864881179,1.172113439010404,O-,B+
