Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Continent,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Egypt,104124440,31.94,35.12,23.12,9.74,0.0,0.0,0.0,0.0,32,Africa,99.92,0.0,O-,A+
El Salvador,6481102,62.0,23.0,11.0,1.0,1.0,1.0,0.7,0.3,33,North America,97.0,3.0,AB-,O+
Estonia,1228624,29.5,30.8,20.7,6.3,4.3,4.5,3.0,0.9,34,Europe,87.3,12.700000000000001,AB-,A+
Ethiopia,108113150,39.0,28.0,21.0,5.0,3.0,2.0,1.0,1.0,35,Africa,93.0,7.0,B-,O+
Fiji,935974,43.0,33.3,16.5,4.8,1.0,0.7,0.5,0.2,36,Oceania,97.6,2.4000000000000004,AB-,O+
Finland,5571665,28.0,35.0,16.0,7.0,5.0,6.0,2.0,1.0,37,Europe,86.0,14.0,AB-,A+
France,67848156,36.5,38.2,7.7,2.5,6.5,6.8,1.4,0.4,38,Europe,84.9,15.100000000000001,AB-,A+
Gabon,2284912,57.55,20.52,17.19,2.54,1.35,0.48,0.41,0.06,39,Africa,97.8,2.3000000000000003,AB-,O+
Georgia,4933674,34.8,32.3,11.9,6.0,6.2,5.7,2.1,1.0,40,Asia,85.0,15.0,AB-,O+
Germany,80159662,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0,41,Europe,85.0,15.0,AB-,A+
Ghana,29340248,53.8,17.6,18.3,2.8,4.5,1.3,1.3,0.2,42,Africa,92.5,7.3,AB-,O+
Greece,10607051,37.8,32.2,11.0,4.0,6.6,5.7,2.0,0.7,43,Europe,85.0,15.0,AB-,O+
Guinea,12527440,46.88,21.64,22.86,4.52,2.0,0.9,1.0,0.2,44,Africa,95.9,4.1,AB-,O+
Honduras,9235340,57.5,27.0,7.8,2.5,2.7,1.7,0.6,0.2,45,North America,94.8,5.2,AB-,O+
Hong Kong,7249907,41.5,26.13,25.34,6.35,0.32,0.17,0.14,0.05,46,Asia,99.32,0.68,AB-,O+
Hungary,9771827,27.0,33.0,16.0,8.0,5.0,7.0,3.0,1.0,47,Europe,84.0,16.0,AB-,A+
Iceland,350734,46.8,27.2,9.0,2.0,8.2,4.8,1.6,0.4,48,Europe,85.0,15.0,AB-,O+
India,1339330514,28.0,25.8,32.0,14.7,2.03,1.36,2.0,0.48,49,Asia,100.5,5.869999999999999,AB-,B+
Indonesia,267026366,36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04,50,Asia,99.49999999999999,0.49999999999999994,AB-,O+
Iran,84923314,33.5,27.0,22.2,7.0,4.0,3.0,2.5,0.8,51,Asia,89.7,10.3,AB-,O+
Iraq,38872655,25.5,25.0,32.6,7.4,3.6,2.7,2.7,0.9,52,Asia,90.5,9.9,AB-,B+
Ireland,5176569,47.0,26.0,9.0,2.0,8.0,5.0,2.0,1.0,53,Europe,84.0,16.0,AB-,O+
Israel,8675475,32.0,34.0,17.0,7.0,3.0,4.0,2.0,1.0,54,Asia,90.0,10.0,AB-,A+
Italy,62402659,39.0,36.0,7.5,2.5,7.0,6.0,1.5,0.5,55,Europe,85.0,15.0,AB-,O+
Ivory Coast,28088455,47.24,20.19,21.7,3.82,3.73,1.54,1.48,0.3,56,Africa,92.95,7.05,AB-,O+
Jamaica,2808570,47.0,23.0,20.0,3.0,3.5,2.0,1.0,0.5,57,North America,93.0,7.0,AB-,O+
Japan,125507472,29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05,58,Asia,99.5,0.49999999999999994,AB-,A+
Jordan,10909567,33.03,32.86,16.56,6.28,4.4,3.97,2.06,0.84,59,Asia,88.73,11.270000000000001,AB-,O+
Kazakhstan,19091949,30.7,29.8,24.2,8.3,2.3,2.2,1.8,0.7,60,Asia,93.0,7.0,AB-,O+
Kenya,53527936,45.6,25.2,21.28,4.2,1.8,1.0,0.9,0.02,61,Africa,96.28,3.7199999999999998,AB-,O+
Laos,7574356,37.52,19.73,35.36,6.85,0.2,0.1,0.2,0.05,62,Asia,99.46,0.55,AB-,O+
Latvia,1881232,30.6,31.0,17.0,6.0,5.4,6.0,3.0,1.0,63,Europe,84.6,15.4,AB-,A+
